id,title,description,priority_label,impact_annotation,urgency_annotation,category
H-001,Heizung komplett ausgefallen,Seit heute Morgen funktioniert die Heizung in der gesamten Wohnung nicht mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-002,Kein Warmwasser verfügbar,In der Wohnung kommt seit mehreren Stunden ausschließlich kaltes Wasser an.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-003,Totalausfall der Heizungsanlage,Alle Heizkörper sind kalt und es gibt keine Wärmeversorgung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-004,Heizung ohne Funktion,Die Heizungsanlage reagiert nicht mehr und erzeugt keine Wärme.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-005,Ausfall Heizung und Warmwasser,Seit gestern Abend stehen weder Heizung noch Warmwasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-006,Störung Heizsystem,Die Heizung ist vollständig ausgefallen und die Wohnung kühlt stark aus.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-007,Keine Beheizung möglich,Trotz aufgedrehter Heizkörper bleibt die Wohnung komplett kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-008,Heizung reagiert nicht,"Die Heizungssteuerung zeigt Betrieb an, jedoch ohne Heizleistung.",HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-009,Wärmeversorgung ausgefallen,Die Heizkörper bleiben kalt und es ist keine Raumheizung möglich.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-010,Heizungsanlage defekt,Die zentrale Heizungsanlage scheint komplett defekt zu sein.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-011,Kein Warmwasser im gesamten Haushalt,In Küche und Bad kommt nur kaltes Wasser aus den Leitungen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-012,Heizung seit Nacht ausgefallen,Seit der vergangenen Nacht ist keine Beheizung mehr möglich.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-013,Heizkörper alle kalt,Alle Heizkörper bleiben trotz maximaler Einstellung kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-014,Ausfall Wärmeversorgung Wohnung,Die Wohnung wird seit heute nicht mehr beheizt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-015,Heizung komplett ohne Leistung,Die Heizung läuft nicht mehr und es entsteht keine Wärme.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-016,Wärmeausfall im Winter,Bei Außentemperaturen unter null Grad funktioniert die Heizung nicht.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-017,Heizungsstörung akut,Die Heizungsanlage ist plötzlich ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-018,Kein warmes Wasser mehr,Seit mehreren Stunden steht kein Warmwasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-019,Heizungsanlage außer Betrieb,Die Heizungsanlage hat sich abgeschaltet und lässt sich nicht starten.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-020,Kompletter Heizungsausfall,Die Wohnung ist nicht mehr beheizbar.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-021,Heizung ausgefallen bei Kälte,Die Heizung funktioniert nicht trotz niedriger Außentemperaturen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
