id,priority_label,title,description,text,category
A-M-055,MEDIUM,Aufzug reagiert langsam auf Notruf,Der Notruf reagiert verzögert.,"Aufzug reagiert langsam auf Notruf
Der Notruf reagiert verzögert.",Aufzug
E-M-001,MEDIUM,Steckdose ohne Funktion,Eine Steckdose im Wohnzimmer funktioniert nicht mehr.,"Steckdose ohne Funktion
Eine Steckdose im Wohnzimmer funktioniert nicht mehr.",Elektro
LAERM-L-050,LOW,Leises Klopfen gelegentlich,Gelegentliches sehr leises Klopfen ohne Relevanz.,"Leises Klopfen gelegentlich
Gelegentliches sehr leises Klopfen ohne Relevanz.",Lärm
REIN-H-049,HIGH,Starke Verschmutzung Tiefgarage,Bereich stark verschmutzt; starker Gestank.,"Starke Verschmutzung Tiefgarage
Bereich stark verschmutzt; starker Gestank.",Reinigung
REIN-L-030,LOW,Leichte Schlieren in Außenbereich,Schlieren kaum sichtbar; bei nächster Reinigung mitnehmen.,"Leichte Schlieren in Außenbereich
Schlieren kaum sichtbar; bei nächster Reinigung mitnehmen.",Reinigung
BSCH-H-077,HIGH,Brandabschottung beschädigt – Bereich 27,Eine Brandschutzabschottung ist beschädigt/offen – Brandübertragung möglich. (Betroffen: Gebäude).,"Brandabschottung beschädigt – Bereich 27
Eine Brandschutzabschottung ist beschädigt/offen – Brandübertragung möglich. (Betroffen: Gebäude).",Brandschutz
HL-044,LOW,Warmwasser leicht wechselnd,Die Temperatur variiert geringfügig.,"Warmwasser leicht wechselnd
Die Temperatur variiert geringfügig.",Heizung / Wärmeversorgung
BSCH-M-064,MEDIUM,Fluchtplan veraltet – Bereich 24,Der ausgehängte Flucht- und Rettungsplan ist nicht mehr aktuell. (Betroffen: Tiefgarage).,"Fluchtplan veraltet – Bereich 24
Der ausgehängte Flucht- und Rettungsplan ist nicht mehr aktuell. (Betroffen: Tiefgarage).",Brandschutz
H-017,HIGH,Heizungsstörung akut,Die Heizungsanlage ist plötzlich ausgefallen.,"Heizungsstörung akut
Die Heizungsanlage ist plötzlich ausgefallen.",Heizung / Wärmeversorgung
A-H-029,HIGH,Aufzug bleibt bei hoher Last stehen,Der Aufzug bleibt bei hoher Last stehen.,"Aufzug bleibt bei hoher Last stehen
Der Aufzug bleibt bei hoher Last stehen.",Aufzug
E-H-019,HIGH,Steckdose explodiert,Beim Einstecken eines Geräts kam es zu einer Explosion an der Steckdose.,"Steckdose explodiert
Beim Einstecken eines Geräts kam es zu einer Explosion an der Steckdose.",Elektro
